iter	Passed	Remaining
0	0	748
1	2	1018
2	3	1104
3	4	1158
4	6	1220
5	7	1236
6	8	1199
7	9	1194
8	10	1171
9	11	1163
10	12	1134
11	14	1156
12	14	1137
13	16	1152
14	17	1142
15	18	1120
16	18	1090
17	19	1071
18	20	1066
19	21	1052
20	22	1038
21	23	1028
22	23	1016
23	24	1005
24	25	992
25	26	984
26	27	981
27	28	973
28	28	964
29	29	953
30	30	942
31	30	932
32	31	925
33	32	918
34	33	909
35	33	901
36	34	891
37	34	881
38	35	873
39	36	865
40	36	857
41	37	853
42	37	845
43	38	837
44	39	830
45	39	822
46	40	814
47	40	805
48	41	798
49	41	791
50	42	784
51	42	778
52	43	772
53	43	766
54	44	761
55	44	755
56	45	751
57	45	746
58	46	740
59	46	734
60	47	728
61	47	725
62	48	721
63	48	716
64	49	711
65	50	707
66	50	703
67	51	699
68	51	696
69	52	691
70	52	686
71	53	684
72	53	682
73	54	680
74	54	676
75	55	673
76	55	670
77	56	667
78	57	664
79	57	661
80	58	658
81	58	655
82	59	653
83	59	652
84	60	649
85	60	646
86	61	644
87	61	640
88	62	638
89	62	635
90	63	633
91	63	630
92	64	629
93	65	627
94	65	625
95	66	623
96	66	621
97	67	620
98	67	618
99	68	616
100	68	613
101	69	611
102	70	610
103	70	608
104	71	606
105	71	604
106	72	602
107	72	600
108	73	599
109	73	597
110	74	595
111	74	593
112	75	592
113	75	590
114	76	588
115	76	586
116	77	585
117	78	583
118	78	581
119	78	578
120	79	575
121	79	573
122	80	570
123	80	568
124	80	566
125	81	564
126	81	561
127	82	560
128	82	558
129	82	555
130	83	553
131	83	552
132	84	549
133	84	548
134	85	545
135	85	544
136	85	541
137	86	541
138	87	539
139	87	538
140	88	537
141	88	536
142	89	533
143	89	532
144	89	530
145	90	528
146	90	527
147	91	526
148	91	525
149	92	523
150	92	522
151	93	519
152	93	517
153	94	516
154	94	514
155	94	512
156	95	510
157	95	509
158	96	508
159	96	507
160	97	506
161	97	504
162	97	501
163	98	500
164	98	499
165	99	498
166	99	497
167	100	496
168	100	493
169	100	492
170	101	491
171	101	490
172	102	489
173	102	488
174	103	486
175	103	484
176	103	482
177	103	480
178	104	478
179	104	475
180	104	473
181	105	472
182	105	471
183	106	470
184	106	468
185	106	467
186	107	465
187	107	464
188	107	462
189	108	462
190	108	460
191	109	461
192	110	460
193	110	458
194	110	456
